Data;Hora Chegada;Chamada; Hora Chamada;Guiche;Tempo Espera
2016/02/03;19:04:46;E006;19:25:32;3;20
2016/02/03;19:05:41;A076;19:23:15;9;17
2016/02/03;19:08:08;AP001;19:19:01;6;10
2016/02/03;19:09:18;A077;19:35:35;3;26
2016/02/03;19:09:36;A078;19:36:02;3;26
2016/02/03;19:24:56;A079;19:41:14;9;16
2016/02/03;19:26:27;E007;19:30:45;9;4
2016/02/03;19:29:49;A080;19:43:54;6;14
2016/02/03;19:30:12;A081;19:44:22;6;14
2016/02/03;19:41:46;A082;19:45:02;1;3
2016/02/03;19:42:23;A083;19:56:26;9;14
2016/02/03;19:50:47;A084;19:58:03;5;7
2016/02/03;19:53:47;A085;19:59:08;9;5
2016/02/03;19:54:05;A086;20:04:51;5;10
2016/02/03;20:01:56;A087;20:07:01;9;5
2016/02/03;20:07:28;A088;20:14:37;3;7
2016/02/03;20:09:11;A089;20:15:21;6;6
2016/02/03;20:22:18;A090;20:23:13;5;0
2016/02/03;20:34:28;A091;20:35:25;5;0
2016/02/03;20:44:06;A092;20:44:09;6;0
2016/02/04;07:50:58;A001;08:03:40;4;12
2016/02/04;07:51:00;E001;08:08:19;2;17
2016/02/04;07:54:59;A002;08:03:51;4;8
2016/02/04;07:55:13;A003;08:08:16;2;13
2016/02/04;08:37:27;A004;08:38:27;9;1
2016/02/04;08:41:55;A005;08:42:20;9;0
2016/02/04;08:45:07;A006;08:45:12;2;0
2016/02/04;08:57:43;A007;08:57:51;2;0
2016/02/04;09:02:39;A008;09:03:01;4;0
2016/02/04;09:06:15;A009;09:07:15;2;1
2016/02/04;09:14:24;A010;09:14:28;2;0
2016/02/04;09:19:14;A011;09:19:20;2;0
2016/02/04;09:47:17;A012;09:49:33;4;2
2016/02/04;09:48:23;A013;09:49:49;9;1
2016/02/04;09:49:13;A014;09:53:36;4;4
2016/02/04;09:49:47;A015;09:54:05;4;4
2016/02/04;09:53:44;A016;09:54:18;9;0
2016/02/04;10:07:10;A017;10:08:51;4;1
2016/02/04;10:07:55;A018;10:11:17;2;3
2016/02/04;10:23:10;A019;10:23:14;2;0
2016/02/04;10:28:01;A020;10:28:41;2;0
2016/02/04;10:32:39;A021;10:38:36;9;5
2016/02/04;10:37:37;A022;10:38:39;9;1
2016/02/04;10:40:18;A023;10:42:07;2;1
2016/02/04;10:59:32;A024;10:59:34;4;0
2016/02/04;11:00:19;A025;11:00:35;9;0
2016/02/04;11:07:00;A026;11:07:29;9;0
2016/02/04;11:17:39;A027;11:18:19;2;0
2016/02/04;11:22:22;A028;11:22:58;9;0
2016/02/04;11:26:49;A029;11:27:03;9;0
2016/02/04;11:26:55;A030;11:31:08;2;4
2016/02/04;11:28:54;A031;11:31:51;9;2
2016/02/04;11:29:10;E002;11:32:20;16;3
2016/02/04;11:37:54;A032;11:38:23;9;0
2016/02/04;11:55:30;A033;11:55:36;4;0
2016/02/04;13:04:12;A034;13:04:17;1;0
2016/02/04;13:04:17;A035;13:04:33;3;0
2016/02/04;13:04:49;A036;13:08:23;2;3
2016/02/04;13:20:05;A037;13:21:52;2;1
2016/02/04;13:25:37;A038;13:25:43;2;0
2016/02/04;13:25:42;A039;13:28:23;2;2
2016/02/04;13:28:55;A040;13:29:10;2;0
2016/02/04;13:33:21;A041;13:33:32;2;0
2016/02/04;13:37:25;A042;13:38:14;3;0
2016/02/04;13:43:04;A043;13:47:19;2;4
2016/02/04;13:43:48;A044;13:49:54;3;6
2016/02/04;13:44:07;A045;13:51:30;3;7
2016/02/04;13:46:15;A046;13:54:34;8;8
2016/02/04;13:56:48;A047;14:02:25;3;5
2016/02/04;14:02:10;A048;14:03:01;3;0
2016/02/04;14:03:02;A049;14:08:52;1;5
2016/02/04;14:06:17;A050;14:09:00;8;2
2016/02/04;14:06:24;A051;14:13:48;3;7
2016/02/04;14:08:25;A052;14:14:23;2;5
2016/02/04;14:10:24;E003;14:11:57;16;1
2016/02/04;14:12:38;A053;14:18:57;3;6
2016/02/04;14:13:40;A054;14:31:14;1;17
2016/02/04;14:24:07;A055;14:39:19;8;15
2016/02/04;14:25:45;A056;14:39:52;1;14
2016/02/04;14:27:20;A057;14:49:00;2;21
2016/02/04;14:28:26;E004;14:29:42;16;1
2016/02/04;14:31:08;E005;14:35:29;16;4
2016/02/04;14:33:48;A058;14:49:14;3;15
2016/02/04;14:36:26;A059;14:50:16;8;13
2016/02/04;14:39:17;A060;14:52:39;3;13
2016/02/04;14:42:52;A061;14:55:05;2;12
2016/02/04;14:46:53;A062;14:55:11;2;8
2016/02/04;14:56:41;A063;14:57:19;1;0
2016/02/04;15:03:50;A064;15:04:20;5;0
2016/02/04;15:16:49;A065;15:17:17;2;0
2016/02/04;15:17:18;A066;15:17:33;6;0
2016/02/04;15:19:32;A067;15:19:41;9;0
2016/02/04;15:20:55;A068;15:21:12;8;0
2016/02/04;15:21:33;A069;15:22:00;2;0
2016/02/04;15:22:51;E006;15:24:18;1;1
2016/02/04;15:27:21;A070;15:27:30;1;0
2016/02/04;15:28:50;EP001;15:36:34;9;7
2016/02/04;15:30:00;AP001;15:30:30;8;0
2016/02/04;15:35:42;A071;15:39:46;6;4
2016/02/04;15:38:13;AP002;15:38:25;6;0
2016/02/04;15:38:18;AP003;15:38:32;5;0
2016/02/04;15:44:16;AP004;15:44:43;5;0
2016/02/04;15:45:19;A072;15:45:30;5;0
2016/02/04;16:07:30;A073;16:07:41;6;0
2016/02/04;16:11:58;A074;16:12:11;2;0
2016/02/04;16:25:43;A075;16:25:49;6;0
2016/02/04;16:27:12;A076;16:27:19;8;0
2016/02/04;16:30:49;A077;16:31:00;6;0
2016/02/04;16:30:54;A078;16:31:24;5;0
2016/02/04;16:41:06;A079;16:41:13;6;0
2016/02/04;16:46:36;A080;16:46:59;5;0
2016/02/04;17:00:09;A081;17:00:28;5;0
2016/02/04;17:02:35;E007;17:02:58;16;0
2016/02/04;17:04:06;A082;17:04:54;5;0
2016/02/04;17:08:50;A083;17:09:01;6;0
2016/02/04;17:22:22;A084;17:22:28;6;0
2016/02/04;17:26:36;E008;17:27:40;16;1
2016/02/04;17:26:39;E009;17:34:40;16;8
2016/02/04;17:33:13;A085;17:33:32;5;0
2016/02/04;17:34:01;A086;17:34:12;1;0
2016/02/04;17:37:14;A087;17:38:22;1;1
2016/02/04;17:37:44;A088;17:40:38;5;2
2016/02/04;17:37:58;A089;17:44:00;6;6
2016/02/04;17:39:38;A090;17:45:06;6;5
2016/02/04;17:40:31;A091;17:47:10;1;6
2016/02/04;17:43:24;A092;17:47:31;9;4
2016/02/04;17:43:45;A093;17:47:55;9;4
2016/02/04;17:51:37;A094;17:53:35;5;1
2016/02/04;17:54:04;A095;17:54:44;9;0
2016/02/04;18:15:16;A096;18:15:27;5;0
2016/02/04;18:19:51;A097;18:20:12;1;0
2016/02/04;18:22:05;A098;18:24:57;6;2
2016/02/04;18:26:58;A099;18:27:18;3;0
2016/02/04;18:32:13;A100;18:32:27;6;0
2016/02/04;18:33:27;A101;18:33:32;5;0
2016/02/04;18:38:05;A102;18:39:04;6;0
2016/02/04;18:46:05;A103;18:46:07;7;0
2016/02/04;18:49:04;A104;18:49:10;3;0
2016/02/04;18:57:08;A105;18:57:19;7;0
2016/02/04;18:57:20;E010;19:01:09;3;3
2016/02/04;18:57:40;A106;18:59:06;3;1
2016/02/04;18:59:38;A107;19:00:11;6;0
2016/02/04;19:00:40;A108;19:00:56;5;0
2016/02/04;19:05:29;A109;19:06:36;7;1
2016/02/04;19:05:40;A110;19:07:32;9;1
2016/02/04;19:08:25;A111;19:10:01;5;1
2016/02/04;19:08:32;A112;19:11:34;9;3
2016/02/04;19:09:46;A113;19:14:14;3;4
2016/02/04;19:14:41;A114;19:15:25;7;0
2016/02/04;19:20:50;A115;19:23:03;3;2
2016/02/04;19:22:05;A116;19:24:32;1;2
2016/02/04;19:31:32;A117;19:31:45;7;0
2016/02/04;19:43:13;A118;19:43:42;1;0
2016/02/04;19:47:08;A119;19:47:19;3;0
2016/02/04;20:16:34;A120;20:17:13;3;0
2016/02/04;20:23:39;EP002;20:24:03;5;0
2016/02/04;20:29:18;A121;20:30:49;3;1
2016/02/04;20:30:31;A122;20:32:27;1;1
2016/02/04;20:30:40;A123;20:34:01;5;3
2016/02/04;20:32:51;A124;20:34:11;6;1
2016/02/04;20:35:30;A125;20:35:40;6;0
2016/02/04;20:42:24;E011;20:43:22;6;0
2016/02/04;20:48:24;A126;20:48:57;5;0
2016/02/05;07:48:04;A001;07:49:19;2;1
2016/02/05;08:02:10;A002;08:02:13;4;0
2016/02/05;08:02:15;A003;08:02:46;2;0
2016/02/05;08:02:27;E001;08:07:51;16;5
2016/02/05;08:20:54;A004;08:20:56;7;0
2016/02/05;08:36:04;A005;08:37:14;2;1
2016/02/05;08:41:16;A006;08:47:08;2;5
2016/02/05;08:47:05;A007;08:52:25;2;5
2016/02/05;08:50:21;A008;08:56:13;2;5
2016/02/05;09:12:18;A009;09:12:20;4;0
2016/02/05;09:18:09;A010;09:20:10;2;2
2016/02/05;09:23:42;A011;09:24:59;2;1
2016/02/05;09:34:01;A012;09:34:03;7;0
2016/02/05;09:41:34;A013;09:43:52;2;2
2016/02/05;09:48:52;A014;09:56:52;7;8
2016/02/05;09:50:36;A015;10:03:30;7;12
2016/02/05;10:02:58;A016;10:06:28;2;3
2016/02/05;10:17:47;A017;10:17:55;4;0
2016/02/05;10:19:30;A018;10:23:46;2;4
2016/02/05;10:21:37;A019;10:34:36;2;12
2016/02/05;10:36:31;A020;10:36:56;2;0
2016/02/05;10:42:14;A021;10:42:17;7;0
2016/02/05;10:49:33;A022;10:52:40;2;3
2016/02/05;10:59:00;A023;11:03:13;4;4
2016/02/05;11:02:18;A024;11:03:44;4;1
2016/02/05;11:26:32;A025;11:26:35;2;0
2016/02/05;11:27:05;A026;11:27:31;7;0
2016/02/05;11:27:32;A027;11:31:45;2;4
2016/02/05;11:33:59;A028;11:35:54;7;1
2016/02/05;11:36:20;A029;11:36:44;2;0
2016/02/05;11:52:46;A030;11:52:49;4;0
2016/02/05;11:54:41;A031;11:54:43;2;0
2016/02/05;11:54:52;A032;11:55:26;7;0
2016/02/05;12:59:17;A033;12:59:39;7;0
2016/02/05;12:59:21;A034;13:01:47;3;2
2016/02/05;12:59:36;A035;13:01:50;3;2
2016/02/05;12:59:50;A036;13:01:53;3;2
2016/02/05;13:00:03;A037;13:01:56;3;1
2016/02/05;13:00:07;A038;13:04:03;1;3
2016/02/05;13:04:27;A039;13:07:51;3;3
2016/02/05;13:16:32;A040;13:16:45;1;0
2016/02/05;13:33:35;A041;13:35:07;8;1
2016/02/05;13:37:26;A042;13:38:57;1;1
2016/02/05;13:37:30;A043;13:39:36;3;2
2016/02/05;13:44:00;A044;13:48:51;3;4
2016/02/05;13:44:18;A045;13:51:24;3;7
2016/02/05;13:45:36;A046;14:00:13;3;14
2016/02/05;13:49:29;A047;14:02:18;3;12
2016/02/05;13:53:40;A048;14:13:33;8;19
2016/02/05;13:54:47;A049;14:14:06;8;19
2016/02/05;13:55:37;A050;14:20:58;1;25
2016/02/05;13:58:43;A051;14:22:54;1;24
2016/02/05;14:03:07;A052;14:23:17;1;20
2016/02/05;14:06:00;A053;14:23:39;1;17
2016/02/05;14:10:33;A054;14:24:03;1;13
2016/02/05;14:12:32;A055;14:43:02;3;30
2016/02/05;14:15:04;A056;14:47:13;8;32
2016/02/05;14:19:14;A057;14:54:31;3;35
2016/02/05;14:26:05;E002;14:35:04;16;8
2016/02/05;14:27:47;A058;14:59:42;8;31
2016/02/05;14:29:14;EP001;14:34:55;16;5
2016/02/05;14:29:24;A059;15:02:27;1;33
2016/02/05;14:36:24;A060;15:04:13;5;27
2016/02/05;14:43:41;A061;15:04:19;1;20
2016/02/05;14:46:54;A062;15:05:15;5;18
2016/02/05;14:52:23;A063;15:07:19;9;14
2016/02/05;14:54:33;A064;15:07:56;5;13
2016/02/05;14:56:20;A065;15:08:25;6;12
2016/02/05;15:04:21;A066;15:11:00;5;6
2016/02/05;15:05:36;A067;15:11:33;6;5
2016/02/05;15:06:48;E003;15:10:48;16;4
2016/02/05;15:09:20;A068;15:13:38;8;4
2016/02/05;15:09:36;E004;15:14:03;16;4
2016/02/05;15:18:21;E005;15:21:48;16;3
2016/02/05;15:19:01;A069;15:20:43;3;1
2016/02/05;15:19:52;A070;15:21:04;3;1
2016/02/05;15:21:55;A071;15:23:41;3;1
2016/02/05;15:28:39;A072;15:30:28;9;1
2016/02/05;15:30:22;A073;15:31:19;1;0
2016/02/05;15:33:08;A074;15:38:37;8;5
2016/02/05;15:38:56;A075;15:39:13;1;0
2016/02/05;15:51:39;A076;15:51:46;8;0
2016/02/05;15:55:28;A077;16:00:59;8;5
2016/02/05;16:02:46;A078;16:06:35;5;3
2016/02/05;16:31:28;A079;16:31:39;9;0
2016/02/05;16:31:55;A080;16:32:52;5;0
2016/02/05;16:38:26;A081;16:38:31;6;0
2016/02/05;16:53:38;A082;16:54:08;6;0
2016/02/05;16:58:02;A083;16:58:12;5;0
2016/02/05;17:03:23;A084;17:03:30;6;0
2016/02/05;17:07:00;A085;17:07:06;5;0
2016/02/05;17:12:32;A086;17:14:35;6;2
2016/02/05;17:15:28;E006;17:18:18;16;2
2016/02/05;17:15:38;A087;17:15:42;9;0
2016/02/05;17:17:48;A088;17:18:06;5;0
2016/02/05;17:18:30;A089;17:18:34;1;0
2016/02/05;17:21:36;A090;17:21:37;6;0
2016/02/05;17:22:48;A091;17:22:53;1;0
2016/02/05;17:23:02;A092;17:26:43;9;3
2016/02/05;17:31:59;A093;17:32:34;5;0
2016/02/05;17:33:15;E007;17:34:43;16;1
2016/02/05;17:34:15;A094;17:34:48;5;0
2016/02/05;17:43:59;A095;17:44:10;1;0
2016/02/05;17:49:18;A096;17:50:02;6;0
2016/02/05;17:50:34;E008;17:50:46;16;0
2016/02/05;18:00:35;A097;18:00:38;9;0
2016/02/05;18:08:18;E009;18:08:47;1;0
2016/02/05;18:21:52;A098;18:22:12;3;0
2016/02/05;18:22:45;A099;18:22:53;5;0
2016/02/05;18:50:05;A100;18:50:33;3;0
2016/02/05;18:50:25;E010;18:50:52;1;0
2016/02/05;18:53:39;A101;18:54:11;3;0
2016/02/05;19:02:04;A102;19:02:14;7;0
2016/02/05;19:06:00;A103;19:06:14;5;0
2016/02/05;19:16:35;A104;19:16:58;1;0
2016/02/05;19:18:21;A105;19:19:38;9;1
2016/02/05;19:21:03;A106;19:21:36;3;0
2016/02/05;19:22:00;A107;19:22:05;3;0
2016/02/05;19:22:08;A108;19:22:30;1;0
2016/02/05;19:28:22;A109;19:28:39;3;0
2016/02/05;19:43:22;A110;19:50:53;6;7
2016/02/05;19:43:57;EP002;19:44:21;3;0
2016/02/05;19:50:11;A111;19:51:23;6;1
2016/02/05;19:50:20;A112;19:51:44;3;1
2016/02/05;20:07:11;A113;20:07:16;9;0
2016/02/05;20:26:58;A114;20:30:39;6;3
2016/02/05;20:38:08;A115;20:38:15;9;0
2016/02/06;08:22:09;A001;08:22:11;4;0
2016/02/06;08:29:59;A002;08:35:02;6;5
2016/02/06;08:35:50;A003;08:41:22;9;5
2016/02/06;08:45:38;E001;08:49:09;4;3
2016/02/06;08:51:02;A004;08:51:05;6;0
2016/02/06;09:03:47;E002;09:03:58;3;0
2016/02/06;09:18:39;A005;09:18:47;4;0
2016/02/06;09:59:29;A006;09:59:33;9;0
2016/02/06;10:06:03;E003;10:07:38;3;1
2016/02/06;10:24:02;A007;10:24:07;6;0
2016/02/06;10:32:24;A008;10:32:41;4;0
2016/02/06;10:41:21;A009;10:41:34;9;0
2016/02/06;10:50:26;A010;10:50:34;3;0
2016/02/06;11:06:54;A011;11:07:22;3;0
2016/02/06;11:11:12;A012;11:11:21;9;0
2016/02/06;11:19:58;A013;11:20:00;6;0
2016/02/06;11:20:28;A014;11:21:04;3;0
2016/02/06;11:22:21;A015;11:22:26;9;0
2016/02/06;11:32:12;A016;11:32:21;9;0
2016/02/06;11:33:53;A017;11:34:01;6;0
2016/02/10;07:44:05;A001;08:01:21;6;17
2016/02/10;08:28:27;A002;08:28:30;6;0
2016/02/10;08:34:46;A003;08:34:50;4;0
2016/02/10;08:35:30;A004;08:35:32;3;0
2016/02/10;08:35:40;A005;08:35:42;6;0
2016/02/10;08:39:46;A006;08:39:49;6;0
2016/02/10;08:42:13;A007;08:42:15;3;0
2016/02/10;08:54:27;E001;08:54:32;6;0
2016/02/10;08:59:00;E002;08:59:08;3;0
2016/02/10;09:04:15;A008;09:05:25;3;1
2016/02/10;09:06:02;EP001;09:06:14;6;0
2016/02/10;09:07:05;A009;09:12:12;3;5
2016/02/10;09:12:20;EP002;09:12:24;6;0
2016/02/10;09:21:22;A010;09:21:32;6;0
2016/02/10;09:23:50;A011;09:23:52;3;0
2016/02/10;09:24:23;A012;09:27:33;6;3
2016/02/10;09:26:39;A013;09:28:19;3;1
2016/02/10;09:34:40;A014;09:37:00;3;2
2016/02/10;09:34:50;A015;09:47:01;6;12
2016/02/10;09:41:02;A016;09:47:34;4;6
2016/02/10;09:42:13;A017;09:48:00;6;5
2016/02/10;09:43:23;E003;09:52:47;16;9
2016/02/10;09:43:26;E004;09:55:58;16;12
2016/02/10;09:45:05;A018;09:52:42;3;7
2016/02/10;09:46:20;A019;09:54:09;6;7
2016/02/10;09:51:09;E005;09:56:17;16;5
2016/02/10;09:53:56;A020;10:02:55;4;8
2016/02/10;09:57:28;A021;10:04:37;3;7
2016/02/10;09:57:57;A022;10:08:43;6;10
2016/02/10;09:58:02;A023;10:11:36;4;13
2016/02/10;10:08:42;A024;10:15:49;6;7
2016/02/10;10:11:46;A025;10:26:11;4;14
2016/02/10;10:11:56;A026;10:26:33;6;14
2016/02/10;10:12:04;E006;10:22:12;16;10
2016/02/10;10:12:17;A027;10:38:33;3;26
2016/02/10;10:12:48;A028;10:46:18;4;33
2016/02/10;10:16:59;A029;11:13:05;6;56
2016/02/10;10:17:43;A030;11:15:58;4;58
2016/02/10;10:20:49;A031;11:16:12;4;55
2016/02/10;10:21:57;A032;11:21:18;2;59
2016/02/10;10:22:56;A033;11:21:41;4;58
2016/02/10;10:25:34;A034;11:28:00;6;62
2016/02/10;10:25:45;A035;11:28:23;2;62
2016/02/10;10:28:55;A036;11:28:38;2;59
2016/02/10;10:30:33;A037;11:28:51;2;58
2016/02/10;10:32:23;A038;11:29:02;2;56
2016/02/10;10:33:04;E007;10:35:38;16;2
2016/02/10;10:42:08;A039;11:29:11;2;47
2016/02/10;10:52:01;A040;11:29:19;2;37
2016/02/10;10:55:43;A041;11:29:29;2;33
2016/02/10;11:00:06;A042;11:29:36;2;29
2016/02/10;11:07:42;AP001;11:09:25;4;1
2016/02/10;11:18:56;A043;11:30:51;6;11
2016/02/10;11:28:23;A044;11:34:24;6;6
2016/02/10;11:28:36;A045;11:40:36;3;12
2016/02/10;11:31:15;A046;11:42:46;6;11
2016/02/10;11:36:19;A047;11:47:53;3;11
2016/02/10;13:00:34;A048;13:00:52;3;0
2016/02/10;13:00:42;A049;13:01:03;7;0
2016/02/10;13:02:08;EP003;13:02:44;16;0
2016/02/10;13:02:41;A050;13:02:49;4;0
2016/02/10;13:12:31;A051;13:12:33;6;0
2016/02/10;13:14:06;A052;13:14:07;1;0
2016/02/10;13:16:33;A053;13:16:38;2;0
2016/02/10;13:17:55;A054;13:17:57;7;0
2016/02/10;13:17:59;A055;13:18:09;6;0
2016/02/10;13:20:14;A056;13:20:15;1;0
2016/02/10;13:23:44;A057;13:23:45;2;0
2016/02/10;13:24:00;A058;13:24:02;7;0
2016/02/10;13:29:18;A059;13:29:23;7;0
2016/02/10;13:34:55;A060;13:34:58;6;0
2016/02/10;13:35:42;A061;13:36:07;4;0
2016/02/10;13:35:56;A062;13:37:06;7;1
2016/02/10;13:36:16;A063;13:38:25;7;2
2016/02/10;13:36:53;A064;13:38:44;6;1
2016/02/10;13:38:49;E008;13:48:27;2;9
2016/02/10;13:42:08;A065;13:42:39;4;0
2016/02/10;13:43:26;A066;13:43:36;7;0
2016/02/10;13:43:33;A067;13:45:05;2;1
2016/02/10;13:45:12;A068;13:45:24;2;0
2016/02/10;13:46:51;A069;13:47:31;16;0
2016/02/10;13:49:50;A070;13:49:59;7;0
2016/02/10;13:52:35;A071;13:53:00;4;0
2016/02/10;13:52:40;E009;13:53:38;16;0
2016/02/10;13:52:49;A072;13:54:49;7;2
2016/02/10;13:53:42;A073;13:56:59;2;3
2016/02/10;13:54:02;E010;13:56:53;16;2
2016/02/10;13:55:14;A074;14:01:29;4;6
2016/02/10;13:57:47;E011;14:02:53;16;5
2016/02/10;13:58:52;A075;14:06:04;3;7
2016/02/10;14:00:40;A076;14:07:28;1;6
2016/02/10;14:16:50;A077;14:26:41;7;9
2016/02/10;14:26:00;A078;14:26:49;1;0
2016/02/10;14:28:45;A079;14:28:54;4;0
2016/02/10;14:30:58;A080;14:32:38;7;1
2016/02/10;14:31:22;A081;14:35:18;3;3
2016/02/10;14:35:43;A082;14:35:48;4;0
2016/02/10;14:36:33;A083;14:37:13;4;0
2016/02/10;14:38:21;A084;14:38:52;3;0
2016/02/10;14:42:22;A085;14:42:47;2;0
2016/02/10;14:47:22;A086;14:48:50;2;1
2016/02/10;14:52:34;A087;14:52:37;1;0
2016/02/10;14:56:39;A088;14:56:42;6;0
2016/02/10;15:00:41;A089;15:01:05;7;0
2016/02/10;15:02:52;E012;15:03:21;6;0
2016/02/10;15:09:46;A090;15:09:52;7;0
2016/02/10;15:23:04;A091;15:23:11;1;0
2016/02/10;15:23:43;A092;15:24:30;8;0
2016/02/10;15:29:28;E013;15:29:39;6;0
2016/02/10;15:33:09;A093;15:33:13;4;0
2016/02/10;15:35:42;A094;15:35:45;1;0
2016/02/10;15:37:57;A095;15:38:05;7;0
2016/02/10;15:44:18;A096;15:44:21;5;0
2016/02/10;15:44:35;A097;15:44:44;1;0
2016/02/10;15:47:09;A098;15:47:26;8;0
2016/02/10;15:48:02;A099;15:48:13;2;0
2016/02/10;15:50:10;EP004;15:50:31;6;0
2016/02/10;15:51:37;A100;15:51:55;4;0
2016/02/10;15:53:06;A101;15:54:31;6;1
2016/02/10;15:54:30;A102;15:54:36;1;0
2016/02/10;15:56:08;A103;15:56:21;4;0
2016/02/10;15:57:41;A104;15:58:10;5;0
2016/02/10;16:01:29;A105;16:01:36;4;0
2016/02/10;16:01:55;A106;16:03:28;2;1
2016/02/10;16:03:21;A107;16:03:35;7;0
2016/02/10;16:04:44;A108;16:06:18;6;1
2016/02/10;16:05:03;A109;16:07:19;5;2
2016/02/10;16:05:34;E014;16:10:56;16;5
2016/02/10;16:05:55;A110;16:07:43;5;1
2016/02/10;16:09:25;A111;16:09:38;4;0
2016/02/10;16:10:49;A112;16:12:29;5;1
2016/02/10;16:15:52;A113;16:16:25;2;0
2016/02/10;16:16:54;A114;16:16:57;6;0
2016/02/10;16:17:02;EP005;16:17:16;16;0
2016/02/10;16:18:10;A115;16:20:50;4;2
2016/02/10;16:18:51;A116;16:26:51;5;8
2016/02/10;16:24:58;A117;16:29:47;9;4
2016/02/10;16:26:14;A118;16:30:27;2;4
2016/02/10;16:36:33;A119;16:36:49;6;0
2016/02/10;16:36:39;A120;16:36:53;4;0
2016/02/10;16:36:47;A121;16:36:58;6;0
2016/02/10;16:37:11;E015;16:37:22;9;0
2016/02/10;16:37:23;E016;16:41:49;6;4
2016/02/10;16:37:42;A122;16:41:18;6;3
